season,lg,player,player_id,age,team,pos,g,gs,mp,per,ts_percent,x3p_ar,f_tr,orb_percent,drb_percent,trb_percent,ast_percent,stl_percent,blk_percent,tov_percent,usg_percent,ows,dws,ws,ws_48,obpm,dbpm,bpm,vorp
2024,NBA,Precious Achiuwa,achiupr01,24.0,2TM,PF,74,18.0,1624.0,14.6,0.545,0.207,0.239,13.0,20.5,16.7,8.4,1.4,3.9,13.8,15.9,1.2,2.2,3.4,0.102,-1.7,0.3,-1.4,0.2
2024,NBA,Precious Achiuwa,achiupr01,24.0,TOR,C,25,0.0,437.0,15.0,0.512,0.276,0.247,12.3,22.1,17.1,14.5,1.8,2.4,13.3,21.2,0.0,0.4,0.4,0.048,-1.4,-0.2,-1.6,0.0
2024,NBA,Precious Achiuwa,achiupr01,24.0,NYK,PF,49,18.0,1187.0,14.5,0.564,0.167,0.234,13.3,19.9,16.6,6.2,1.3,4.4,14.1,14.0,1.2,1.8,3.0,0.122,-1.9,0.5,-1.4,0.2
2024,NBA,Bam Adebayo,adebaba01,26.0,MIA,C,71,71.0,2416.0,19.8,0.576,0.041,0.381,7.4,27.3,17.3,18.9,1.7,2.7,12.0,24.9,2.9,4.3,7.2,0.144,0.8,1.7,2.4,2.7
2024,NBA,Ochai Agbaji,agbajoc01,23.0,2TM,SG,78,28.0,1641.0,7.7,0.497,0.487,0.129,4.9,9.6,7.2,6.6,1.4,2.4,12.3,13.4,-0.5,0.6,0.1,0.002,-3.5,-0.9,-4.4,-1.0
2024,NBA,Ochai Agbaji,agbajoc01,23.0,UTA,SG,51,10.0,1003.0,8.1,0.531,0.57,0.08,3.9,9.9,6.9,6.1,1.3,2.6,11.7,12.2,0.1,0.3,0.4,0.019,-2.5,-0.5,-3.0,-0.3
2024,NBA,Ochai Agbaji,agbajoc01,23.0,TOR,SG,27,18.0,638.0,7.1,0.453,0.375,0.196,6.6,9.0,7.8,7.4,1.5,2.1,13.1,15.4,-0.6,0.3,-0.3,-0.024,-5.0,-1.5,-6.5,-0.7
2024,NBA,Santi Aldama,aldamsa01,23.0,MEM,PF,61,35.0,1618.0,13.1,0.539,0.535,0.153,4.7,19.7,11.9,13.3,1.3,3.1,10.2,17.9,0.4,2.0,2.4,0.07,-0.7,0.4,-0.2,0.7
2024,NBA,Nickeil Alexander-Walker,alexani01,25.0,MIN,SG,82,20.0,1921.0,10.9,0.578,0.623,0.121,2.2,7.5,4.9,14.5,1.6,1.9,11.8,14.8,1.5,2.8,4.3,0.107,-1.1,1.3,0.2,1.1
2024,NBA,Grayson Allen,allengr01,28.0,PHO,SG,75,74.0,2513.0,13.8,0.679,0.652,0.216,2.3,10.6,6.6,12.1,1.3,1.6,11.3,14.5,4.7,2.2,6.9,0.132,1.1,0.1,1.3,2.0
2024,NBA,Jarrett Allen,allenja01,25.0,CLE,C,77,77.0,2442.0,21.8,0.664,0.007,0.383,11.3,25.8,18.7,13.2,1.1,3.0,11.2,19.4,6.8,3.9,10.7,0.21,2.1,0.9,3.0,3.1
2024,NBA,Timmy Allen,allenti01,24.0,MEM,SF,5,0.0,125.0,0.8,0.272,0.304,0.087,3.4,11.8,7.4,5.4,1.6,0.0,7.7,8.9,-0.2,0.1,-0.1,-0.041,-10.3,-0.7,-11.1,-0.3
2024,NBA,Jose Alvarado,alvarjo01,25.0,NOP,PG,56,0.0,1028.0,12.5,0.54,0.6,0.151,2.7,11.0,6.9,15.3,2.8,1.4,9.8,17.3,0.6,1.5,2.1,0.097,-1.5,1.5,-0.1,0.5
2024,NBA,Kyle Anderson,anderky01,30.0,MIN,PF,79,10.0,1782.0,12.7,0.513,0.111,0.316,4.0,13.0,8.7,25.0,2.0,2.3,15.6,14.5,1.4,3.1,4.5,0.121,-1.6,2.7,1.1,1.4
2024,NBA,Giannis Antetokounmpo,antetgi01,29.0,MIL,PF,73,73.0,2567.0,29.9,0.649,0.091,0.571,8.6,27.0,17.9,32.7,1.6,2.6,12.7,33.0,9.5,3.7,13.2,0.246,6.7,2.4,9.0,7.2
2024,NBA,Thanasis Antetokounmpo,antetth01,31.0,MIL,PF,34,0.0,155.0,5.5,0.518,0.033,0.067,5.1,4.2,4.6,13.9,2.2,2.2,31.2,12.5,-0.2,0.1,0.0,-0.01,-6.7,0.3,-6.4,-0.2
2024,NBA,Cole Anthony,anthoco01,23.0,ORL,PG,81,0.0,1817.0,14.6,0.545,0.36,0.286,4.1,16.1,10.1,19.8,1.7,1.9,12.8,23.7,0.9,2.7,3.6,0.096,-0.6,0.7,0.1,1.0
2024,NBA,OG Anunoby,anunoog01,26.0,2TM,SF,50,50.0,1702.0,12.8,0.595,0.463,0.154,3.0,10.6,6.8,9.0,2.0,1.9,11.6,17.6,1.1,1.5,2.6,0.073,-1.0,0.5,-0.6,0.6
2024,NBA,OG Anunoby,anunoog01,26.0,TOR,SF,27,27.0,900.0,12.6,0.598,0.508,0.143,2.9,10.2,6.5,11.4,1.5,1.3,11.2,18.2,0.6,0.4,1.0,0.052,-0.8,-0.7,-1.6,0.1
2024,NBA,OG Anunoby,anunoog01,26.0,NYK,SF,23,23.0,802.0,13.0,0.591,0.406,0.168,3.2,11.1,7.1,6.2,2.5,2.7,12.1,16.8,0.5,1.1,1.6,0.097,-1.3,1.8,0.6,0.5
2024,NBA,Ryan Arcidiacono,arcidry01,29.0,NYK,PG,20,0.0,45.0,-2.0,0.0,1.0,0.0,0.0,20.0,10.0,10.4,2.2,0.0,25.0,7.7,-0.1,0.1,-0.1,-0.089,-11.5,1.9,-9.6,-0.1
2024,NBA,Deni Avdija,avdijde01,23.0,WAS,SF,75,75.0,2257.0,14.9,0.597,0.293,0.34,3.9,22.1,12.8,17.8,1.2,1.3,14.8,20.2,1.7,1.5,3.2,0.068,-0.7,-0.2,-0.9,0.6
2024,NBA,Deandre Ayton,aytonde01,25.0,POR,C,55,55.0,1784.0,18.9,0.587,0.013,0.105,10.4,28.9,19.1,8.8,1.5,2.1,11.2,21.1,1.8,2.1,3.9,0.106,0.5,-0.2,0.3,1.0
2024,NBA,Udoka Azubuike,azubuud01,24.0,PHO,C,16,0.0,113.0,12.3,0.609,0.0,0.565,11.6,20.0,16.0,3.6,0.4,4.7,12.2,12.6,0.1,0.1,0.2,0.1,-3.0,-0.1,-3.2,0.0
2024,NBA,Ibou Badji,badjiib01,21.0,POR,C,22,1.0,226.0,8.1,0.623,0.0,0.545,9.4,16.3,12.6,7.7,0.7,8.0,35.5,8.0,0.0,0.2,0.2,0.046,-7.7,1.9,-5.8,-0.2
2024,NBA,Marvin Bagley III,baglema01,24.0,2TM,C,50,25.0,1053.0,19.4,0.629,0.056,0.309,13.1,19.2,16.1,8.1,0.9,2.6,11.3,21.0,2.0,0.7,2.7,0.122,1.0,-1.4,-0.4,0.4
2024,NBA,Marvin Bagley III,baglema01,24.0,DET,C,26,10.0,478.0,18.2,0.638,0.033,0.337,10.5,17.1,13.8,9.0,0.5,2.5,12.2,21.1,0.9,0.3,1.1,0.112,0.4,-1.6,-1.2,0.1
2024,NBA,Marvin Bagley III,baglema01,24.0,WAS,C,24,15.0,575.0,20.5,0.622,0.075,0.286,15.3,20.9,18.0,7.3,1.2,2.7,10.5,20.9,1.1,0.4,1.6,0.13,1.5,-1.2,0.3,0.3
2024,NBA,Amari Bailey,baileam01,19.0,CHO,PG,10,0.0,65.0,9.7,0.425,0.333,0.292,10.1,5.3,7.8,15.2,2.3,0.0,12.9,21.1,-0.1,0.0,-0.1,-0.044,-5.2,-3.1,-8.3,-0.1
