player,player_id,team,season,lg,replaced
Bam Adebayo,adebaba01,East,2024,NBA,False
Giannis Antetokounmpo,antetgi01,East,2024,NBA,False
Paolo Banchero,banchpa01,East,2024,NBA,False
Scottie Barnes,barnesc01,East,2024,NBA,False
Jaylen Brown,brownja02,East,2024,NBA,False
Jalen Brunson,brunsja01,East,2024,NBA,False
Joel Embiid,embiijo01,East,2024,NBA,True
Tyrese Haliburton,halibty01,East,2024,NBA,False
Damian Lillard,lillada01,East,2024,NBA,False
Tyrese Maxey,maxeyty01,East,2024,NBA,False
Donovan Mitchell,mitchdo01,East,2024,NBA,False
Julius Randle,randlju01,East,2024,NBA,True
Jayson Tatum,tatumja01,East,2024,NBA,False
Trae Young,youngtr01,East,2024,NBA,False
Devin Booker,bookede01,West,2024,NBA,False
Stephen Curry,curryst01,West,2024,NBA,False
Anthony Davis,davisan02,West,2024,NBA,False
Luka Dončić,doncilu01,West,2024,NBA,False
Kevin Durant,duranke01,West,2024,NBA,False
Anthony Edwards,edwaran01,West,2024,NBA,False
Paul George,georgpa01,West,2024,NBA,False
Shai Gilgeous-Alexander,gilgesh01,West,2024,NBA,False
LeBron James,jamesle01,West,2024,NBA,False
Nikola Jokić,jokicni01,West,2024,NBA,False
Kawhi Leonard,leonaka01,West,2024,NBA,False
Karl-Anthony Towns,townska01,West,2024,NBA,False
Bam Adebayo,adebaba01,Giannis,2023,NBA,False
Giannis Antetokounmpo,antetgi01,Giannis,2023,NBA,False
DeMar DeRozan,derozde01,Giannis,2023,NBA,False
Kevin Durant,duranke01,Giannis,2023,NBA,True
Shai Gilgeous-Alexander,gilgesh01,Giannis,2023,NBA,False
Jrue Holiday,holidjr01,Giannis,2023,NBA,False
Damian Lillard,lillada01,Giannis,2023,NBA,False
Lauri Markkanen,markkla01,Giannis,2023,NBA,False
Donovan Mitchell,mitchdo01,Giannis,2023,NBA,False
Ja Morant,moranja01,Giannis,2023,NBA,False
Domantas Sabonis,sabondo01,Giannis,2023,NBA,False
Pascal Siakam,siakapa01,Giannis,2023,NBA,False
Jayson Tatum,tatumja01,Giannis,2023,NBA,False
Jaylen Brown,brownja02,LeBron,2023,NBA,False
Stephen Curry,curryst01,LeBron,2023,NBA,True
Luka Dončić,doncilu01,LeBron,2023,NBA,False
Anthony Edwards,edwaran01,LeBron,2023,NBA,False
Joel Embiid,embiijo01,LeBron,2023,NBA,False
De'Aaron Fox,foxde01,LeBron,2023,NBA,False
Paul George,georgpa01,LeBron,2023,NBA,False
Tyrese Haliburton,halibty01,LeBron,2023,NBA,False
Kyrie Irving,irvinky01,LeBron,2023,NBA,False
Jaren Jackson Jr.,jacksja02,LeBron,2023,NBA,False
LeBron James,jamesle01,LeBron,2023,NBA,False
Nikola Jokić,jokicni01,LeBron,2023,NBA,False
Julius Randle,randlju01,LeBron,2023,NBA,False
Zion Williamson,willizi01,LeBron,2023,NBA,True
LaMelo Ball,ballla01,Team Durant,2022,NBA,False
Devin Booker,bookede01,Team Durant,2022,NBA,False
Kevin Durant,duranke01,Team Durant,2022,NBA,True
Joel Embiid,embiijo01,Team Durant,2022,NBA,False
Rudy Gobert,goberru01,Team Durant,2022,NBA,False
Draymond Green,greendr01,Team Durant,2022,NBA,True
Zach LaVine,lavinza01,Team Durant,2022,NBA,False
Khris Middleton,middlkh01,Team Durant,2022,NBA,False
Ja Morant,moranja01,Team Durant,2022,NBA,False
Dejounte Murray,murrade01,Team Durant,2022,NBA,False
Jayson Tatum,tatumja01,Team Durant,2022,NBA,False
Karl-Anthony Towns,townska01,Team Durant,2022,NBA,False
Andrew Wiggins,wiggian01,Team Durant,2022,NBA,False
Trae Young,youngtr01,Team Durant,2022,NBA,False
Jarrett Allen,allenja01,Team LeBron,2022,NBA,False
Giannis Antetokounmpo,antetgi01,Team LeBron,2022,NBA,False
Jimmy Butler,butleji01,Team LeBron,2022,NBA,False
Stephen Curry,curryst01,Team LeBron,2022,NBA,False
DeMar DeRozan,derozde01,Team LeBron,2022,NBA,False
Luka Dončić,doncilu01,Team LeBron,2022,NBA,False
Darius Garland,garlada01,Team LeBron,2022,NBA,False
James Harden,hardeja01,Team LeBron,2022,NBA,True
LeBron James,jamesle01,Team LeBron,2022,NBA,False
Nikola Jokić,jokicni01,Team LeBron,2022,NBA,False
Donovan Mitchell,mitchdo01,Team LeBron,2022,NBA,True
Chris Paul,paulch01,Team LeBron,2022,NBA,False
Fred VanVleet,vanvlfr01,Team LeBron,2022,NBA,False
