season,lg,type,number_tm,position,player,player_id,age,pts_won,pts_max,share,x1st_tm,x2nd_tm,x3rd_tm
2024,nba,all_nba,1T,G,Shai Gilgeous-Alexander,gilgesh01,25,495.0,495.0,1.0,99.0,0.0,0.0
2024,nba,all_nba,1T,C,Nikola Jokić,jokicni01,28,495.0,495.0,1.0,99.0,0.0,0.0
2024,nba,all_nba,1T,G,Luka Dončić,doncilu01,24,493.0,495.0,0.996,98.0,1.0,0.0
2024,nba,all_nba,1T,F,Giannis Antetokounmpo,antetgi01,29,473.0,495.0,0.956,88.0,11.0,0.0
2024,nba,all_nba,1T,F,Jayson Tatum,tatumja01,25,427.0,495.0,0.863,65.0,34.0,0.0
2024,nba,all_nba,2T,G,Jalen Brunson,brunsja01,27,368.0,495.0,0.743,37.0,61.0,0.0
2024,nba,all_nba,2T,G,Anthony Edwards,edwaran01,22,285.0,495.0,0.576,3.0,87.0,9.0
2024,nba,all_nba,2T,F,Kevin Durant,duranke01,35,274.0,495.0,0.554,2.0,85.0,9.0
2024,nba,all_nba,2T,F,Kawhi Leonard,leonaka01,32,242.0,495.0,0.489,1.0,72.0,21.0
2024,nba,all_nba,2T,C,Anthony Davis,davisan02,30,230.0,495.0,0.465,1.0,65.0,30.0
2024,nba,all_nba,3T,F,LeBron James,jamesle01,39,164.0,495.0,0.331,1.0,32.0,63.0
2024,nba,all_nba,3T,G,Stephen Curry,curryst01,35,117.0,495.0,0.236,0.0,13.0,78.0
2024,nba,all_nba,3T,F,Domantas Sabonis,sabondo01,27,104.0,495.0,0.21,1.0,16.0,51.0
2024,nba,all_nba,3T,G,Tyrese Haliburton,halibty01,23,75.0,495.0,0.152,0.0,2.0,69.0
2024,nba,all_nba,3T,G,Devin Booker,bookede01,27,70.0,495.0,0.141,0.0,7.0,49.0
2024,nba,all_nba,ORV,F,Jaylen Brown,brownja02,27,50.0,495.0,0.101,0.0,0.0,50.0
2024,nba,all_nba,ORV,G,Tyrese Maxey,maxeyty01,23,16.0,495.0,0.032,0.0,1.0,13.0
2024,nba,all_nba,ORV,F,Paul George,georgpa01,33,16.0,495.0,0.032,0.0,0.0,16.0
2024,nba,all_nba,ORV,C,Rudy Gobert,goberru01,31,12.0,495.0,0.024,0.0,1.0,9.0
2024,nba,all_nba,ORV,C,Victor Wembanyama,wembavi01,20,11.0,495.0,0.022,0.0,2.0,5.0
2024,nba,all_nba,ORV,F,Zion Williamson,willizi01,23,11.0,495.0,0.022,0.0,1.0,8.0
2024,nba,all_nba,ORV,F,Paolo Banchero,banchpa01,21,10.0,495.0,0.02,0.0,2.0,4.0
2024,nba,all_nba,ORV,G,De'Aaron Fox,foxde01,26,9.0,495.0,0.018,0.0,1.0,6.0
2024,nba,all_nba,ORV,C,Bam Adebayo,adebaba01,26,7.0,495.0,0.014,0.0,1.0,4.0
2024,nba,all_nba,ORV,F,DeMar DeRozan,derozde01,34,1.0,495.0,0.002,0.0,0.0,1.0
2023,nba,all_nba,1T,F,Giannis Antetokounmpo,antetgi01,28,500.0,500.0,1.0,100.0,0.0,0.0
2023,nba,all_nba,1T,F,Jayson Tatum,tatumja01,24,484.0,500.0,0.968,92.0,8.0,0.0
2023,nba,all_nba,1T,C,Joel Embiid,embiijo01,28,474.0,500.0,0.948,87.0,13.0,0.0
2023,nba,all_nba,1T,G,Shai Gilgeous-Alexander,gilgesh01,24,407.0,500.0,0.814,63.0,29.0,5.0
2023,nba,all_nba,1T,G,Luka Dončić,doncilu01,23,403.0,500.0,0.806,60.0,33.0,4.0
2023,nba,all_nba,2T,C,Nikola Jokić,jokicni01,27,364.0,500.0,0.728,32.0,68.0,0.0
2023,nba,all_nba,2T,G,Donovan Mitchell,mitchdo01,26,349.0,500.0,0.698,45.0,36.0,16.0
2023,nba,all_nba,2T,G,Stephen Curry,curryst01,34,188.0,500.0,0.376,17.0,20.0,43.0
2023,nba,all_nba,2T,F,Jimmy Butler,butleji01,33,182.0,500.0,0.364,1.0,52.0,21.0
2023,nba,all_nba,2T,F,Jaylen Brown,brownja02,26,169.0,500.0,0.338,1.0,45.0,29.0
2023,nba,all_nba,3T,C,Domantas Sabonis,sabondo01,26,147.0,500.0,0.294,0.0,26.0,69.0
2023,nba,all_nba,3T,G,De'Aaron Fox,foxde01,25,144.0,500.0,0.288,1.0,33.0,40.0
2023,nba,all_nba,3T,G,Damian Lillard,lillada01,32,137.0,500.0,0.274,0.0,36.0,29.0
2023,nba,all_nba,3T,F,Julius Randle,randlju01,28,125.0,500.0,0.25,0.0,30.0,35.0
2023,nba,all_nba,3T,F,LeBron James,jamesle01,38,81.0,500.0,0.162,0.0,16.0,33.0
2023,nba,all_nba,ORV,C,Anthony Davis,davisan02,29,65.0,500.0,0.13,0.0,13.0,26.0
2023,nba,all_nba,ORV,F,Lauri Markkanen,markkla01,25,49.0,500.0,0.098,0.0,6.0,31.0
2023,nba,all_nba,ORV,G,Ja Morant,moranja01,23,44.0,500.0,0.088,0.0,10.0,14.0
2023,nba,all_nba,ORV,G,Jrue Holiday,holidjr01,32,39.0,500.0,0.078,1.0,5.0,19.0
2023,nba,all_nba,ORV,F,Kevin Durant,duranke01,34,35.0,500.0,0.07,0.0,7.0,14.0
2023,nba,all_nba,ORV,G,Jalen Brunson,brunsja01,26,23.0,500.0,0.046,0.0,5.0,8.0
2023,nba,all_nba,ORV,F,Kawhi Leonard,leonaka01,31,15.0,500.0,0.03,0.0,4.0,3.0
2023,nba,all_nba,ORV,F,Pascal Siakam,siakapa01,28,15.0,500.0,0.03,0.0,1.0,12.0
2023,nba,all_nba,ORV,F,Anthony Edwards,edwaran01,21,14.0,500.0,0.028,0.0,2.0,8.0
2023,nba,all_nba,ORV,F,Jaren Jackson Jr.,jacksja02,23,11.0,500.0,0.022,0.0,1.0,8.0
2023,nba,all_nba,ORV,G,Devin Booker,bookede01,26,10.0,500.0,0.02,0.0,1.0,7.0
2023,nba,all_nba,ORV,C,Bam Adebayo,adebaba01,25,9.0,500.0,0.018,0.0,0.0,9.0
2023,nba,all_nba,ORV,G,James Harden,hardeja01,33,6.0,500.0,0.012,0.0,0.0,6.0
2023,nba,all_nba,ORV,F,Mikal Bridges,bridgmi01,26,2.0,500.0,0.004,0.0,0.0,2.0
2023,nba,all_nba,ORV,F,DeMar DeRozan,derozde01,33,2.0,500.0,0.004,0.0,0.0,2.0
2023,nba,all_nba,ORV,C,Kristaps Porziņģis,porzikr01,27,2.0,500.0,0.004,0.0,0.0,2.0
2023,nba,all_nba,ORV,F,Paul George,georgpa01,32,1.0,500.0,0.002,0.0,0.0,1.0
2023,nba,all_nba,ORV,G,Tyrese Haliburton,halibty01,22,1.0,500.0,0.002,0.0,0.0,1.0
2023,nba,all_nba,ORV,F,Zach LaVine,lavinza01,27,1.0,500.0,0.002,0.0,0.0,1.0
