season,lg,type,number_tm,player,player_id,position
2024,NBA,All-Defense,1st,Rudy Gobert,goberru01,
2024,NBA,All-Defense,1st,Victor Wembanyama,wembavi01,
2024,NBA,All-Defense,1st,Bam Adebayo,adebaba01,
2024,NBA,All-Defense,1st,Herbert Jones,joneshe01,
2024,NBA,All-Defense,1st,Anthony Davis,davisan02,
2024,NBA,All-Defense,2nd,Alex Caruso,carusal01,
2024,NBA,All-Defense,2nd,Jalen Suggs,suggsja01,
2024,NBA,All-Defense,2nd,Derrick White,whitede01,
2024,NBA,All-Defense,2nd,Jaden McDaniels,mcdanja02,
2024,NBA,All-Defense,2nd,Jrue Holiday,holidjr01,
2024,NBA,All-NBA,1st,Nikola Jokić,jokicni01,C
2024,NBA,All-NBA,1st,Giannis Antetokounmpo,antetgi01,F
2024,NBA,All-NBA,1st,Jayson Tatum,tatumja01,F
2024,NBA,All-NBA,1st,Luka Dončić,doncilu01,G
2024,NBA,All-NBA,1st,Shai Gilgeous-Alexander,gilgesh01,G
2024,NBA,All-NBA,2nd,Anthony Davis,davisan02,C
2024,NBA,All-NBA,2nd,Kevin Durant,duranke01,F
2024,NBA,All-NBA,2nd,Kawhi Leonard,leonaka01,F
2024,NBA,All-NBA,2nd,Jalen Brunson,brunsja01,G
2024,NBA,All-NBA,2nd,Anthony Edwards,edwaran01,G
2024,NBA,All-NBA,3rd,LeBron James,jamesle01,F
2024,NBA,All-NBA,3rd,Domantas Sabonis,sabondo01,F
2024,NBA,All-NBA,3rd,Devin Booker,bookede01,G
2024,NBA,All-NBA,3rd,Stephen Curry,curryst01,G
2024,NBA,All-NBA,3rd,Tyrese Haliburton,halibty01,G
2024,NBA,All-Rookie,1st,Chet Holmgren,holmgch01,
2024,NBA,All-Rookie,1st,Jaime Jaquez Jr.,jaqueja01,
2024,NBA,All-Rookie,1st,Brandon Miller,millebr02,
2024,NBA,All-Rookie,1st,Brandin Podziemski,podzibr01,
2024,NBA,All-Rookie,1st,Victor Wembanyama,wembavi01,
2024,NBA,All-Rookie,2nd,Dereck Lively II,livelde01,
2024,NBA,All-Rookie,2nd,GG Jackson II,jacksgg01,
2024,NBA,All-Rookie,2nd,Keyonte George,georgke01,
2024,NBA,All-Rookie,2nd,Amen Thompson,thompam01,
2024,NBA,All-Rookie,2nd,Cason Wallace,wallaca01,
2023,NBA,All-Defense,1st,Alex Caruso,carusal01,
2023,NBA,All-Defense,1st,Jrue Holiday,holidjr01,
2023,NBA,All-Defense,1st,Jaren Jackson Jr.,jacksja02,
2023,NBA,All-Defense,1st,Brook Lopez,lopezbr01,
2023,NBA,All-Defense,1st,Evan Mobley,mobleev01,
2023,NBA,All-Defense,2nd,Bam Adebayo,adebaba01,
2023,NBA,All-Defense,2nd,OG Anunoby,anunoog01,
2023,NBA,All-Defense,2nd,Dillon Brooks,brookdi01,
2023,NBA,All-Defense,2nd,Draymond Green,greendr01,
2023,NBA,All-Defense,2nd,Derrick White,whitede01,
2023,NBA,All-NBA,1st,Joel Embiid,embiijo01,C
2023,NBA,All-NBA,1st,Giannis Antetokounmpo,antetgi01,F
2023,NBA,All-NBA,1st,Jayson Tatum,tatumja01,F
2023,NBA,All-NBA,1st,Luka Dončić,doncilu01,G
2023,NBA,All-NBA,1st,Shai Gilgeous-Alexander,gilgesh01,G
2023,NBA,All-NBA,2nd,Nikola Jokić,jokicni01,C
2023,NBA,All-NBA,2nd,Jimmy Butler,butleji01,F
2023,NBA,All-NBA,2nd,Jaylen Brown,brownja02,F
2023,NBA,All-NBA,2nd,Donovan Mitchell,mitchdo01,G
2023,NBA,All-NBA,2nd,Stephen Curry,curryst01,G
2023,NBA,All-NBA,3rd,Domantas Sabonis,sabondo01,C
2023,NBA,All-NBA,3rd,LeBron James,jamesle01,F
2023,NBA,All-NBA,3rd,Julius Randle,randlju01,F
2023,NBA,All-NBA,3rd,De'Aaron Fox,foxde01,G
2023,NBA,All-NBA,3rd,Damian Lillard,lillada01,G
2023,NBA,All-Rookie,1st,Paolo Banchero,banchpa01,
2023,NBA,All-Rookie,1st,Walker Kessler,kesslwa01,
2023,NBA,All-Rookie,1st,Bennedict Mathurin,mathube01,
2023,NBA,All-Rookie,1st,Keegan Murray,murrake02,
2023,NBA,All-Rookie,1st,Jalen Williams,willija06,
2023,NBA,All-Rookie,2nd,Jalen Duren,durenja01,
2023,NBA,All-Rookie,2nd,Tari Eason,easonta01,
2023,NBA,All-Rookie,2nd,Jaden Ivey,iveyja01,
2023,NBA,All-Rookie,2nd,Jabari Smith Jr.,smithja05,
2023,NBA,All-Rookie,2nd,Jeremy Sochan,sochaje01,
2022,NBA,All-Defense,1st,Giannis Antetokounmpo,antetgi01,
2022,NBA,All-Defense,1st,Mikal Bridges,bridgmi01,
2022,NBA,All-Defense,1st,Rudy Gobert,goberru01,
2022,NBA,All-Defense,1st,Jaren Jackson Jr.,jacksja02,
2022,NBA,All-Defense,1st,Marcus Smart,smartma01,
2022,NBA,All-Defense,2nd,Bam Adebayo,adebaba01,
2022,NBA,All-Defense,2nd,Draymond Green,greendr01,
2022,NBA,All-Defense,2nd,Jrue Holiday,holidjr01,
2022,NBA,All-Defense,2nd,Matisse Thybulle,thybuma01,
2022,NBA,All-Defense,2nd,Robert Williams,williro04,
2022,NBA,All-NBA,1st,Nikola Jokić,jokicni01,C
2022,NBA,All-NBA,1st,Giannis Antetokounmpo,antetgi01,F
2022,NBA,All-NBA,1st,Jayson Tatum,tatumja01,F
2022,NBA,All-NBA,1st,Luka Dončić,doncilu01,G
2022,NBA,All-NBA,1st,Devin Booker,bookede01,G
2022,NBA,All-NBA,2nd,Joel Embiid,embiijo01,C
2022,NBA,All-NBA,2nd,Kevin Durant,duranke01,F
2022,NBA,All-NBA,2nd,DeMar DeRozan,derozde01,F
2022,NBA,All-NBA,2nd,Ja Morant,moranja01,G
2022,NBA,All-NBA,2nd,Stephen Curry,curryst01,G
2022,NBA,All-NBA,3rd,Karl-Anthony Towns,townska01,C
2022,NBA,All-NBA,3rd,LeBron James,jamesle01,F
2022,NBA,All-NBA,3rd,Pascal Siakam,siakapa01,F
2022,NBA,All-NBA,3rd,Chris Paul,paulch01,G
2022,NBA,All-NBA,3rd,Trae Young,youngtr01,G
2022,NBA,All-Rookie,1st,Scottie Barnes,barnesc01,
2022,NBA,All-Rookie,1st,Cade Cunningham,cunnica01,
2022,NBA,All-Rookie,1st,Evan Mobley,mobleev01,
2022,NBA,All-Rookie,1st,Franz Wagner,wagnefr01,
2022,NBA,All-Rookie,1st,Jalen Green,greenja05,
2022,NBA,All-Rookie,2nd,Herbert Jones,joneshe01,
2022,NBA,All-Rookie,2nd,Josh Giddey,giddejo01,
2022,NBA,All-Rookie,2nd,Bones Hyland,hylanbo01,
2022,NBA,All-Rookie,2nd,Ayo Dosunmu,dosunay01,
