game_id,league_id,team_id_home,team_abbreviation_home,team_city_home,pts_paint_home,pts_2nd_chance_home,pts_fb_home,largest_lead_home,lead_changes,times_tied,team_turnovers_home,total_turnovers_home,team_rebounds_home,pts_off_to_home,team_id_away,team_abbreviation_away,team_city_away,pts_paint_away,pts_2nd_chance_away,pts_fb_away,largest_lead_away,team_turnovers_away,total_turnovers_away,team_rebounds_away,pts_off_to_away
0042100151,00,1610612763,MEM,Memphis,60,14,18,2,2,4,0,12,15,11,1610612750,MIN,Minnesota,50,19,9,13,1,19,10,25
0042100161,00,1610612744,GSW,Golden State,42,20,4,24,9,6,1,13,13,17,1610612743,DEN,Denver,54,8,16,6,1,11,11,21
0042100171,00,1610612762,UTA,Utah,50,20,8,12,5,6,0,14,10,14,1610612742,DAL,Dallas,36,7,10,9,0,7,8,10
0042100141,00,1610612740,NOP,New Orleans,38,29,2,0,0,0,1,14,10,21,1610612756,PHX,Phoenix,52,7,15,23,1,10,8,8
0042100121,00,1610612749,MIL,Milwaukee,42,19,8,16,4,2,0,21,10,15,1610612741,CHI,Chicago,32,13,5,5,0,11,4,14
0042100101,00,1610612748,MIA,Miami,38,6,5,32,1,3,0,15,11,22,1610612737,ATL,Atlanta,26,6,4,3,0,18,7,17
0042100172,00,1610612742,DAL,Dallas,28,4,16,8,13,6,0,3,7,4,1610612762,UTA,Utah,50,18,3,10,0,10,6,12
0042100162,00,1610612744,GSW,Golden State,46,11,13,23,1,1,0,9,7,8,1610612743,DEN,Denver,42,26,6,12,2,18,8,25
0042100132,00,1610612755,PHI,Philadelphia,36,12,22,29,7,8,2,16,9,17,1610612761,TOR,Toronto,48,15,10,9,2,11,5,18
0042100142,00,1610612740,NOP,New Orleans,44,15,16,11,20,8,0,17,7,28,1610612756,PHX,Phoenix,46,9,9,8,1,13,5,12
0042100152,00,1610612750,MIN,Minnesota,34,10,11,4,11,7,1,20,9,28,1610612763,MEM,Memphis,60,19,12,32,3,12,7,15
0042100102,00,1610612748,MIA,Miami,38,7,20,16,13,11,1,15,11,19,1610612737,ATL,Atlanta,46,18,13,4,0,19,9,21
0042100122,00,1610612741,CHI,Chicago,36,4,6,18,6,2,1,13,5,12,1610612749,MIL,Milwaukee,46,10,7,3,0,15,9,19
0042100112,00,1610612751,BKN,Brooklyn,34,15,13,17,1,3,0,14,10,19,1610612738,BOS,Boston,44,15,12,12,0,14,8,8
0042100133,00,1610612755,PHI,Philadelphia,42,9,4,3,3,8,2,24,10,27,1610612761,TOR,Toronto,38,16,13,17,1,11,7,11
0042100153,00,1610612763,MEM,Memphis,40,23,7,12,1,2,0,18,16,29,1610612750,MIN,Minnesota,40,20,20,26,1,17,12,21
0042100173,00,1610612742,DAL,Dallas,42,14,3,17,3,1,1,9,10,6,1610612762,UTA,Utah,56,5,9,3,0,14,5,13
0042100163,00,1610612744,GSW,Golden State,40,8,12,12,11,11,0,16,7,15,1610612743,DEN,Denver,46,10,3,5,1,18,7,19
