season,lg,team,abbreviation,playoffs,g,mp,opp_fg_per_100_poss,opp_fga_per_100_poss,opp_fg_percent,opp_x3p_per_100_poss,opp_x3pa_per_100_poss,opp_x3p_percent,opp_x2p_per_100_poss,opp_x2pa_per_100_poss,opp_x2p_percent,opp_ft_per_100_poss,opp_fta_per_100_poss,opp_ft_percent,opp_orb_per_100_poss,opp_drb_per_100_poss,opp_trb_per_100_poss,opp_ast_per_100_poss,opp_stl_per_100_poss,opp_blk_per_100_poss,opp_tov_per_100_poss,opp_pf_per_100_poss,opp_pts_per_100_poss
2024,NBA,Atlanta Hawks,ATL,False,82,19855,44.2,89.3,0.495,13.9,36.1,0.384,30.3,53.2,0.57,17.1,21.6,0.792,10.5,33.3,43.8,27.9,7.7,5.6,14.0,19.3,119.4
2024,NBA,Boston Celtics,BOS,True,82,19830,42.4,93.6,0.453,13.2,37.5,0.352,29.2,56.1,0.52,13.6,17.7,0.768,11.3,33.0,44.3,25.4,6.4,3.8,12.3,17.6,111.6
2024,NBA,Brooklyn Nets,BRK,False,82,19805,42.6,90.7,0.47,13.3,35.8,0.372,29.3,54.9,0.534,17.5,21.7,0.807,10.5,34.9,45.4,26.1,7.0,5.1,12.9,18.7,116.1
2024,NBA,Chicago Bulls,CHI,False,82,19980,42.0,89.0,0.473,14.9,40.4,0.37,27.1,48.6,0.558,17.3,22.3,0.776,10.3,34.0,44.4,28.5,6.9,5.0,14.3,19.2,116.3
2024,NBA,Charlotte Hornets,CHO,False,82,19730,44.5,89.9,0.494,14.0,37.1,0.377,30.5,52.9,0.577,16.9,21.2,0.796,10.8,35.7,46.5,29.5,7.3,5.0,14.0,17.9,119.8
2024,NBA,Cleveland Cavaliers,CLE,True,82,19805,41.4,89.5,0.463,12.8,34.6,0.371,28.6,54.9,0.521,17.0,21.5,0.791,10.3,33.4,43.6,25.8,7.9,5.1,13.9,19.2,112.7
2024,NBA,Dallas Mavericks,DAL,True,82,19705,42.9,90.2,0.475,13.1,35.6,0.368,29.8,54.7,0.545,16.6,21.6,0.77,10.9,34.1,45.0,27.5,7.3,4.0,13.7,20.3,115.4
2024,NBA,Denver Nuggets,DEN,True,82,19705,41.9,90.7,0.462,11.6,32.5,0.355,30.3,58.1,0.522,17.7,22.9,0.772,11.2,32.4,43.6,26.5,7.3,5.0,12.8,18.5,113.0
2024,NBA,Detroit Pistons,DET,False,82,19755,43.6,88.9,0.49,12.1,32.7,0.37,31.5,56.2,0.56,19.6,24.5,0.8,9.6,33.4,43.1,27.0,8.9,6.0,12.4,17.7,118.8
2024,NBA,Golden State Warriors,GSW,False,82,19830,42.1,90.5,0.466,13.3,37.0,0.359,28.9,53.5,0.539,17.7,22.4,0.788,10.9,32.1,42.9,26.7,7.7,5.0,13.0,17.9,115.2
