season,lg,team,abbreviation,playoffs,g,mp,opp_fg,opp_fga,opp_fg_percent,opp_x3p,opp_x3pa,opp_x3p_percent,opp_x2p,opp_x2pa,opp_x2p_percent,opp_ft,opp_fta,opp_ft_percent,opp_orb,opp_drb,opp_trb,opp_ast,opp_stl,opp_blk,opp_tov,opp_pf,opp_pts
2024,NBA,Atlanta Hawks,ATL,False,82.0,19855.0,3659.0,7394.0,0.495,1147.0,2987.0,0.384,2512.0,4407.0,0.57,1417.0,1790.0,0.792,870.0,2758.0,3628.0,2314.0,638.0,461.0,1158.0,1594.0,9882.0
2024,NBA,Boston Celtics,BOS,True,82.0,19830.0,3403.0,7515.0,0.453,1059.0,3008.0,0.352,2344.0,4507.0,0.52,1092.0,1422.0,0.768,907.0,2645.0,3552.0,2042.0,510.0,304.0,986.0,1416.0,8957.0
2024,NBA,Brooklyn Nets,BRK,False,82.0,19805.0,3410.0,7255.0,0.47,1066.0,2865.0,0.372,2344.0,4390.0,0.534,1401.0,1736.0,0.807,843.0,2788.0,3631.0,2088.0,563.0,409.0,1035.0,1496.0,9287.0
2024,NBA,Chicago Bulls,CHI,False,82.0,19980.0,3370.0,7131.0,0.473,1196.0,3235.0,0.37,2174.0,3896.0,0.558,1388.0,1789.0,0.776,829.0,2729.0,3558.0,2287.0,555.0,404.0,1147.0,1538.0,9324.0
2024,NBA,Charlotte Hornets,CHO,False,82.0,19730.0,3555.0,7191.0,0.494,1118.0,2965.0,0.377,2437.0,4226.0,0.577,1352.0,1699.0,0.796,867.0,2853.0,3720.0,2356.0,582.0,396.0,1117.0,1432.0,9580.0
2024,NBA,Cleveland Cavaliers,CLE,True,82.0,19805.0,3323.0,7176.0,0.463,1029.0,2773.0,0.371,2294.0,4403.0,0.521,1363.0,1724.0,0.791,823.0,2676.0,3499.0,2071.0,632.0,411.0,1115.0,1536.0,9038.0
2024,NBA,Dallas Mavericks,DAL,True,82.0,19705.0,3522.0,7413.0,0.475,1075.0,2921.0,0.368,2447.0,4492.0,0.545,1364.0,1772.0,0.77,896.0,2800.0,3696.0,2258.0,603.0,331.0,1127.0,1667.0,9483.0
2024,NBA,Denver Nuggets,DEN,True,82.0,19705.0,3332.0,7210.0,0.462,919.0,2587.0,0.355,2413.0,4623.0,0.522,1404.0,1819.0,0.772,894.0,2573.0,3467.0,2108.0,578.0,394.0,1014.0,1467.0,8987.0
2024,NBA,Detroit Pistons,DET,False,82.0,19755.0,3578.0,7301.0,0.49,991.0,2682.0,0.37,2587.0,4619.0,0.56,1610.0,2013.0,0.8,791.0,2745.0,3536.0,2216.0,727.0,490.0,1019.0,1457.0,9757.0
2024,NBA,Golden State Warriors,GSW,False,82.0,19830.0,3453.0,7415.0,0.466,1088.0,3030.0,0.359,2365.0,4385.0,0.539,1449.0,1840.0,0.788,892.0,2627.0,3519.0,2187.0,633.0,407.0,1067.0,1471.0,9443.0
