season,lg,player,player_id,age,team,pos,g,gs,mp,fg_per_100_poss,fga_per_100_poss,fg_percent,x3p_per_100_poss,x3pa_per_100_poss,x3p_percent,x2p_per_100_poss,x2pa_per_100_poss,x2p_percent,e_fg_percent,ft_per_100_poss,fta_per_100_poss,ft_percent,orb_per_100_poss,drb_per_100_poss,trb_per_100_poss,ast_per_100_poss,stl_per_100_poss,blk_per_100_poss,tov_per_100_poss,pf_per_100_poss,pts_per_100_poss,o_rtg,d_rtg
2024,NBA,Precious Achiuwa,achiupr01,24,2TM,PF,74,18.0,1624,7.2,14.4,0.501,0.8,3.0,0.268,6.4,11.4,0.562,0.529,2.1,3.4,0.616,5.9,9.1,14.9,3.0,1.4,2.1,2.5,4.4,17.3,114.0,112.0
2024,NBA,Precious Achiuwa,achiupr01,24,TOR,C,25,0.0,437,8.6,18.8,0.459,1.4,5.2,0.277,7.2,13.6,0.528,0.497,2.7,4.6,0.571,5.5,9.5,15.0,4.9,1.8,1.3,3.2,4.4,21.3,106.0,116.0
2024,NBA,Precious Achiuwa,achiupr01,24,NYK,PF,49,18.0,1187,6.7,12.7,0.525,0.6,2.1,0.26,6.1,10.6,0.578,0.547,1.9,3.0,0.643,6.0,8.9,14.9,2.3,1.3,2.4,2.3,4.4,15.8,118.0,111.0
2024,NBA,Bam Adebayo,adebaba01,26,MIA,C,71,71.0,2416,10.9,21.0,0.521,0.3,0.9,0.357,10.6,20.1,0.528,0.529,6.0,8.0,0.755,3.3,11.9,15.2,5.7,1.7,1.4,3.3,3.3,28.2,115.0,109.0
2024,NBA,Ochai Agbaji,agbajoc01,23,2TM,SG,78,28.0,1641,5.2,12.7,0.411,1.8,6.2,0.294,3.4,6.5,0.523,0.483,1.1,1.6,0.661,2.2,4.2,6.4,2.4,1.4,1.3,1.9,3.4,13.4,102.0,121.0
2024,NBA,Ochai Agbaji,agbajoc01,23,UTA,SG,51,10.0,1003,5.1,12.0,0.426,2.3,6.8,0.331,2.8,5.1,0.551,0.52,0.7,1.0,0.75,1.7,4.4,6.1,2.3,1.3,1.4,1.6,3.2,13.2,107.0,122.0
2024,NBA,Ochai Agbaji,agbajoc01,23,TOR,SG,27,18.0,638,5.4,13.9,0.391,1.1,5.2,0.217,4.3,8.7,0.496,0.432,1.7,2.7,0.611,3.0,3.9,6.8,2.7,1.5,1.1,2.3,3.9,13.7,95.0,120.0
2024,NBA,Santi Aldama,aldamsa01,23,MEM,PF,61,35.0,1618,7.5,17.2,0.435,3.2,9.2,0.349,4.3,8.0,0.534,0.528,1.6,2.6,0.621,2.2,8.5,10.6,4.2,1.3,1.6,2.1,2.7,19.8,109.0,114.0
2024,NBA,Nickeil Alexander-Walker,alexani01,25,MIN,SG,82,20.0,1921,6.1,13.8,0.439,3.4,8.6,0.391,2.7,5.2,0.517,0.56,1.3,1.7,0.8,0.9,3.4,4.3,5.2,1.6,1.1,2.0,3.7,16.9,115.0,111.0
2024,NBA,Grayson Allen,allengr01,28,PHO,SG,75,74.0,2513,6.6,13.3,0.499,4.0,8.6,0.461,2.6,4.6,0.57,0.649,2.5,2.9,0.878,0.9,4.8,5.7,4.4,1.3,0.9,1.8,3.1,19.7,130.0,117.0
2024,NBA,Jarrett Allen,allenja01,25,CLE,C,77,77.0,2442,10.5,16.6,0.634,0.0,0.1,0.0,10.5,16.4,0.638,0.634,4.7,6.4,0.742,4.9,11.5,16.4,4.2,1.1,1.6,2.4,3.0,25.7,131.0,110.0
2024,NBA,Timmy Allen,allenti01,24,MEM,SF,5,0.0,125,2.3,9.0,0.261,0.0,2.7,0.0,2.3,6.3,0.375,0.261,0.4,0.8,0.5,1.6,5.1,6.6,2.0,1.6,0.0,0.8,7.0,5.1,73.0,117.0
2024,NBA,Jose Alvarado,alvarjo01,25,NOP,PG,56,0.0,1028,6.8,16.5,0.412,3.7,9.9,0.377,3.1,6.6,0.464,0.525,1.7,2.5,0.673,1.2,4.9,6.1,5.6,2.8,0.7,1.9,4.2,18.9,112.0,112.0
2024,NBA,Kyle Anderson,anderky01,30,MIN,PF,79,10.0,1782,5.5,12.0,0.46,0.3,1.3,0.229,5.2,10.7,0.488,0.472,2.7,3.8,0.708,1.7,5.9,7.6,9.2,2.0,1.3,2.5,3.6,14.0,114.0,109.0
2024,NBA,Giannis Antetokounmpo,antetgi01,29,MIL,PF,73,73.0,2567,15.7,25.6,0.611,0.6,2.3,0.274,15.0,23.3,0.645,0.624,9.6,14.6,0.657,3.7,12.1,15.7,8.9,1.6,1.5,4.7,3.9,41.6,126.0,112.0
2024,NBA,Thanasis Antetokounmpo,antetth01,31,MIL,PF,34,0.0,155,5.0,9.3,0.533,0.0,0.3,0.0,5.0,9.0,0.552,0.533,0.0,0.6,0.0,2.2,1.9,4.0,5.3,2.2,1.2,4.3,7.4,9.9,92.0,117.0
2024,NBA,Cole Anthony,anthoco01,23,ORL,PG,81,0.0,1817,9.0,20.8,0.435,2.5,7.5,0.338,6.5,13.3,0.49,0.496,4.9,5.9,0.826,1.7,6.7,8.5,6.4,1.7,1.0,3.4,4.8,25.5,110.0,111.0
2024,NBA,OG Anunoby,anunoog01,26,2TM,SF,50,50.0,1702,8.2,16.7,0.489,3.0,7.7,0.382,5.2,9.0,0.581,0.577,1.9,2.6,0.753,1.4,4.7,6.0,3.1,2.0,1.0,2.3,3.4,21.2,113.0,117.0
2024,NBA,OG Anunoby,anunoog01,26,TOR,SF,27,27.0,900,8.4,17.2,0.489,3.3,8.7,0.374,5.2,8.5,0.608,0.584,1.8,2.5,0.717,1.3,4.4,5.7,3.9,1.5,0.7,2.3,3.3,21.9,113.0,121.0
2024,NBA,OG Anunoby,anunoog01,26,NYK,SF,23,23.0,802,7.9,16.1,0.488,2.6,6.5,0.394,5.3,9.6,0.553,0.568,2.1,2.7,0.791,1.4,5.0,6.4,2.2,2.5,1.4,2.4,3.6,20.4,113.0,112.0
2024,NBA,Ryan Arcidiacono,arcidry01,29,NYK,PG,20,0.0,45,0.0,6.7,0.0,0.0,6.7,0.0,0.0,0.0,,0.0,0.0,0.0,,0.0,9.0,9.0,4.5,2.2,0.0,2.2,5.6,0.0,33.0,112.0
2024,NBA,Deni Avdija,avdijde01,23,WAS,SF,75,75.0,2257,8.4,16.6,0.506,1.8,4.9,0.374,6.6,11.8,0.56,0.56,4.2,5.7,0.74,1.7,9.4,11.2,5.9,1.2,0.7,3.3,3.8,22.8,112.0,119.0
2024,NBA,Deandre Ayton,aytonde01,25,POR,C,55,55.0,1784,11.8,20.7,0.57,0.0,0.3,0.1,11.8,20.5,0.576,0.571,1.8,2.2,0.823,4.9,12.0,16.9,2.5,1.5,1.2,2.7,3.0,25.5,115.0,114.0
2024,NBA,Udoka Azubuike,azubuud01,24,PHO,C,16,0.0,113,6.9,9.9,0.696,0.0,0.0,,6.9,9.9,0.696,0.696,1.3,5.6,0.231,4.8,9.1,13.8,1.3,0.4,2.6,1.7,7.3,15.1,118.0,114.0
2024,NBA,Ibou Badji,badjiib01,21,POR,C,22,1.0,226,3.1,4.8,0.636,0.0,0.0,,3.1,4.8,0.636,0.636,1.3,2.6,0.5,4.4,6.8,11.1,2.8,0.7,4.4,3.3,10.0,7.4,104.0,115.0
2024,NBA,Marvin Bagley III,baglema01,24,2TM,C,50,25.0,1053,10.8,18.4,0.586,0.4,1.0,0.391,10.3,17.3,0.597,0.597,4.3,5.7,0.762,5.8,8.2,14.0,2.5,0.9,1.5,2.7,3.6,26.2,122.0,119.0
2024,NBA,Marvin Bagley III,baglema01,24,DET,C,26,10.0,478,10.8,18.2,0.591,0.1,0.6,0.167,10.7,17.6,0.606,0.594,5.0,6.1,0.82,4.6,7.2,11.9,2.7,0.5,1.4,2.9,4.0,26.7,122.0,120.0
2024,NBA,Marvin Bagley III,baglema01,24,WAS,C,24,15.0,575,10.7,18.5,0.581,0.7,1.4,0.471,10.1,17.1,0.59,0.599,3.7,5.3,0.708,6.8,8.9,15.8,2.3,1.2,1.5,2.4,3.3,25.9,123.0,118.0
2024,NBA,Amari Bailey,baileam01,19,CHO,PG,10,0.0,65,6.1,18.2,0.333,0.8,6.1,0.125,5.3,12.1,0.438,0.354,4.6,5.3,0.857,4.6,2.3,6.8,5.3,2.3,0.0,3.0,1.5,17.5,96.0,122.0
2024,NBA,Patrick Baldwin Jr.,baldwpa01,21,WAS,SF,38,7.0,493,5.6,14.7,0.381,2.9,9.2,0.32,2.7,5.5,0.483,0.481,1.8,2.7,0.679,1.6,10.1,11.7,2.8,1.7,1.4,1.8,5.3,15.9,100.0,116.0
2024,NBA,LaMelo Ball,ballla01,22,CHO,PG,22,22.0,711,12.7,29.4,0.433,4.9,13.7,0.355,7.8,15.7,0.5,0.515,6.2,7.2,0.865,2.0,5.8,7.8,12.2,2.8,0.3,5.8,5.5,36.5,110.0,118.0
2024,NBA,Mo Bamba,bambamo01,25,PHI,C,57,17.0,740,6.5,13.2,0.49,1.7,4.3,0.391,4.8,8.9,0.537,0.553,2.3,3.3,0.68,5.1,10.7,15.8,2.7,1.5,4.0,2.6,6.7,16.8,116.0,109.0
2024,NBA,Paolo Banchero,banchpa01,21,ORL,PF,80,80.0,2799,11.3,24.9,0.455,2.1,6.2,0.339,9.2,18.7,0.493,0.497,7.2,9.9,0.725,1.5,8.3,9.8,7.6,1.3,0.8,4.4,2.7,31.9,109.0,112.0
2024,NBA,Desmond Bane,banede01,25,MEM,SG,42,42.0,1443,12.2,26.3,0.464,4.6,12.2,0.381,7.6,14.1,0.536,0.552,4.7,5.5,0.87,1.2,5.0,6.3,7.8,1.5,0.7,3.8,4.1,33.8,114.0,116.0
2024,NBA,Dalano Banton,bantoda01,24,2TM,PG,54,9.0,1047,9.5,23.6,0.404,2.8,9.4,0.296,6.7,14.2,0.475,0.463,4.4,5.7,0.783,1.9,6.5,8.4,6.0,1.6,0.9,3.6,3.0,26.3,103.0,117.0
2024,NBA,Dalano Banton,bantoda01,24,BOS,PG,24,1.0,171,5.5,14.7,0.373,0.6,4.6,0.125,4.9,10.1,0.486,0.392,4.6,5.8,0.8,3.5,6.6,10.1,5.5,1.4,0.9,2.9,5.8,16.2,106.0,113.0
2024,NBA,Dalano Banton,bantoda01,24,POR,PG,30,8.0,876,10.3,25.3,0.408,3.2,10.3,0.311,7.1,15.0,0.474,0.471,4.4,5.6,0.78,1.6,6.4,8.1,6.1,1.6,1.0,3.8,2.5,28.2,103.0,117.0
2024,NBA,Dominick Barlow,barlodo01,20,SAS,PF,33,1.0,420,6.3,12.8,0.496,0.3,1.0,0.333,6.0,11.8,0.51,0.509,3.3,4.7,0.69,5.1,7.7,12.8,4.1,1.4,1.6,1.0,5.3,16.3,125.0,116.0
2024,NBA,Harrison Barnes,barneha02,31,SAC,PF,82,82.0,2381,7.1,14.9,0.474,3.0,7.9,0.387,4.0,7.1,0.571,0.576,3.2,4.0,0.801,1.4,3.7,5.1,2.0,1.1,0.2,1.2,2.0,20.4,122.0,119.0
2024,NBA,Scottie Barnes,barnesc01,22,TOR,SG,60,60.0,2094,10.3,21.7,0.475,2.3,6.8,0.341,8.0,14.9,0.536,0.528,4.5,5.8,0.781,3.3,8.1,11.4,8.4,1.7,2.0,3.8,2.7,27.5,114.0,116.0
2024,NBA,RJ Barrett,barrerj01,23,2TM,SG,58,58.0,1838,11.7,23.5,0.495,2.4,6.7,0.36,9.3,16.8,0.549,0.547,5.6,7.8,0.715,1.4,7.0,8.4,5.2,0.8,0.6,3.4,3.5,31.3,112.0,119.0
2024,NBA,RJ Barrett,barrerj01,23,NYK,SG,26,26.0,766,10.8,25.5,0.423,2.8,8.6,0.331,8.0,17.0,0.469,0.478,6.8,8.2,0.831,1.3,6.1,7.3,4.1,0.8,0.6,3.1,3.0,31.2,110.0,116.0
2024,NBA,RJ Barrett,barrerj01,23,TOR,SG,32,32.0,1072,12.3,22.2,0.553,2.1,5.4,0.392,10.1,16.8,0.605,0.601,4.7,7.5,0.629,1.5,7.7,9.2,5.9,0.9,0.6,3.6,3.8,31.4,114.0,120.0
2024,NBA,Charles Bassey,bassech01,23,SAS,C,19,0.0,205,6.7,9.3,0.725,0.0,0.2,0.0,6.7,9.0,0.744,0.725,1.2,1.4,0.833,5.3,12.3,17.6,4.9,1.9,3.9,3.5,7.2,14.6,126.0,109.0
2024,NBA,Emoni Bates,batesem01,20,CLE,SF,15,0.0,133,5.6,18.2,0.306,3.7,12.3,0.303,1.9,5.9,0.313,0.408,0.4,1.5,0.25,0.4,4.8,5.2,3.7,0.4,0.7,3.0,1.9,15.2,80.0,117.0
2024,NBA,Keita Bates-Diop,bateske01,28,2TM,SF,53,8.0,665,5.3,12.2,0.434,1.5,5.1,0.304,3.8,7.1,0.526,0.497,2.4,3.1,0.762,2.3,5.8,8.1,2.8,1.8,1.6,1.1,2.6,14.5,116.0,114.0
2024,NBA,Keita Bates-Diop,bateske01,28,PHO,SF,39,8.0,597,5.2,12.3,0.427,1.6,5.2,0.313,3.6,7.0,0.512,0.493,2.1,2.9,0.722,2.5,5.8,8.3,2.8,1.8,1.6,1.1,2.7,14.2,116.0,114.0
2024,NBA,Keita Bates-Diop,bateske01,28,BRK,SF,14,0.0,68,5.8,11.7,0.5,0.7,3.6,0.2,5.1,8.0,0.636,0.531,4.4,4.4,1.0,0.7,5.8,6.6,2.9,2.2,1.5,1.5,1.5,16.8,123.0,115.0
2024,NBA,Nicolas Batum,batumni01,35,2TM,PF,60,38.0,1529,3.7,8.2,0.453,2.3,6.0,0.395,1.4,2.3,0.606,0.596,0.5,0.7,0.714,2.3,5.7,8.0,4.1,1.5,1.2,1.3,3.5,10.3,126.0,115.0
2024,NBA,Nicolas Batum,batumni01,35,LAC,PF,3,0.0,54,2.7,7.3,0.375,1.8,6.4,0.286,0.9,0.9,1.0,0.5,0.0,0.0,,0.0,6.4,6.4,4.6,2.7,3.7,0.9,4.6,7.3,112.0,110.0
2024,NBA,Nicolas Batum,batumni01,35,PHI,PF,57,38.0,1475,3.8,8.3,0.456,2.4,5.9,0.399,1.4,2.3,0.6,0.599,0.5,0.7,0.714,2.3,5.7,8.0,4.1,1.5,1.1,1.3,3.5,10.4,127.0,115.0
2024,NBA,Darius Bazley,bazleda01,23,2TM,PF,9,0.0,152,5.7,9.5,0.6,0.6,2.5,0.25,5.1,7.0,0.727,0.633,3.2,3.8,0.833,2.5,6.4,8.9,2.2,1.9,2.2,2.5,1.0,15.3,121.0,118.0
2024,NBA,Darius Bazley,bazleda01,23,PHI,PF,3,0.0,10,0.0,4.9,0.0,0.0,0.0,,0.0,4.9,0.0,0.0,0.0,0.0,,0.0,4.9,4.9,9.8,0.0,0.0,4.9,0.0,0.0,51.0,121.0
2024,NBA,Darius Bazley,bazleda01,23,UTA,PF,6,0.0,142,6.1,9.9,0.621,0.7,2.7,0.25,5.4,7.1,0.762,0.655,3.4,4.1,0.833,2.7,6.5,9.2,1.7,2.0,2.4,2.4,1.0,16.3,125.0,118.0
