season,lg,player,player_id,age,team,pos,g,gs,mp,fg_per_36_min,fga_per_36_min,fg_percent,x3p_per_36_min,x3pa_per_36_min,x3p_percent,x2p_per_36_min,x2pa_per_36_min,x2p_percent,e_fg_percent,ft_per_36_min,fta_per_36_min,ft_percent,orb_per_36_min,drb_per_36_min,trb_per_36_min,ast_per_36_min,stl_per_36_min,blk_per_36_min,tov_per_36_min,pf_per_36_min,pts_per_36_min
2024,NBA,Precious Achiuwa,achiupr01,24.0,2TM,PF,74,18.0,1624,5.2,10.4,0.501,0.6,2.2,0.268,4.6,8.2,0.562,0.529,1.5,2.5,0.616,4.2,6.6,10.8,2.2,1.0,1.5,1.8,3.2,12.5
2024,NBA,Precious Achiuwa,achiupr01,24.0,TOR,C,25,0.0,437,6.4,14.0,0.459,1.1,3.9,0.277,5.4,10.1,0.528,0.497,2.0,3.5,0.571,4.1,7.1,11.2,3.6,1.3,1.0,2.4,3.3,15.9
2024,NBA,Precious Achiuwa,achiupr01,24.0,NYK,PF,49,18.0,1187,4.8,9.1,0.525,0.4,1.5,0.26,4.4,7.6,0.578,0.547,1.4,2.1,0.643,4.3,6.4,10.6,1.6,0.9,1.7,1.6,3.1,11.3
2024,NBA,Bam Adebayo,adebaba01,26.0,MIA,C,71,71.0,2416,7.9,15.2,0.521,0.2,0.6,0.357,7.7,14.5,0.528,0.529,4.4,5.8,0.755,2.4,8.6,11.0,4.1,1.2,1.0,2.4,2.4,20.4
2024,NBA,Ochai Agbaji,agbajoc01,23.0,2TM,SG,78,28.0,1641,3.9,9.5,0.411,1.4,4.6,0.294,2.5,4.9,0.523,0.483,0.8,1.2,0.661,1.6,3.1,4.7,1.8,1.0,1.0,1.4,2.6,10.0
2024,NBA,Ochai Agbaji,agbajoc01,23.0,UTA,SG,51,10.0,1003,3.8,8.9,0.426,1.7,5.1,0.331,2.1,3.8,0.551,0.52,0.5,0.7,0.75,1.3,3.3,4.5,1.7,1.0,1.0,1.2,2.4,9.8
2024,NBA,Ochai Agbaji,agbajoc01,23.0,TOR,SG,27,18.0,638,4.1,10.4,0.391,0.8,3.9,0.217,3.2,6.5,0.496,0.432,1.2,2.0,0.611,2.2,2.9,5.1,2.0,1.1,0.8,1.7,2.9,10.2
2024,NBA,Santi Aldama,aldamsa01,23.0,MEM,PF,61,35.0,1618,5.5,12.6,0.435,2.4,6.8,0.349,3.1,5.9,0.534,0.528,1.2,1.9,0.621,1.6,6.2,7.8,3.1,1.0,1.2,1.5,2.0,14.6
2024,NBA,Nickeil Alexander-Walker,alexani01,25.0,MIN,SG,82,20.0,1921,4.4,10.1,0.439,2.5,6.3,0.391,2.0,3.8,0.517,0.56,1.0,1.2,0.8,0.7,2.5,3.1,3.8,1.2,0.8,1.4,2.7,12.3
2024,NBA,Grayson Allen,allengr01,28.0,PHO,SG,75,74.0,2513,4.9,9.8,0.499,2.9,6.4,0.461,1.9,3.4,0.57,0.649,1.8,2.1,0.878,0.7,3.5,4.2,3.3,1.0,0.6,1.4,2.2,14.5
2024,NBA,Jarrett Allen,allenja01,25.0,CLE,C,77,77.0,2442,7.7,12.1,0.634,0.0,0.1,0.0,7.7,12.0,0.638,0.634,3.4,4.6,0.742,3.6,8.4,12.0,3.1,0.8,1.2,1.8,2.2,18.7
2024,NBA,Timmy Allen,allenti01,24.0,MEM,SF,5,0.0,125,1.7,6.6,0.261,0.0,2.0,0.0,1.7,4.6,0.375,0.261,0.3,0.6,0.5,1.2,3.7,4.9,1.4,1.2,0.0,0.6,5.2,3.7
