season,award,player,player_id,age,first,pts_won,pts_max,share,winner
2024,nba clutch_poy,Stephen Curry,curryst01,35,45.0,298.0,495.0,0.602,True
2024,nba clutch_poy,DeMar DeRozan,derozde01,34,34.0,272.0,495.0,0.549,False
2024,nba clutch_poy,Shai Gilgeous-Alexander,gilgesh01,25,11.0,160.0,495.0,0.323,False
2024,nba clutch_poy,Nikola Jokić,jokicni01,28,4.0,85.0,495.0,0.172,False
2024,nba clutch_poy,Jalen Brunson,brunsja01,27,2.0,26.0,495.0,0.053,False
2024,nba clutch_poy,Luka Dončić,doncilu01,24,1.0,16.0,495.0,0.032,False
2024,nba clutch_poy,Kyrie Irving,irvinky01,31,0.0,14.0,495.0,0.028,False
2024,nba clutch_poy,Anthony Edwards,edwaran01,22,1.0,6.0,495.0,0.012,False
2024,nba clutch_poy,Jayson Tatum,tatumja01,25,1.0,5.0,495.0,0.01,False
2024,nba clutch_poy,LeBron James,jamesle01,39,0.0,3.0,495.0,0.006,False
2024,nba clutch_poy,Damian Lillard,lillada01,33,0.0,2.0,495.0,0.004,False
2024,nba clutch_poy,Giannis Antetokounmpo,antetgi01,29,0.0,1.0,495.0,0.002,False
2024,nba clutch_poy,De'Aaron Fox,foxde01,26,0.0,1.0,495.0,0.002,False
2024,nba clutch_poy,Malik Monk,monkma01,25,0.0,1.0,495.0,0.002,False
2024,nba clutch_poy,Jalen Williams,willija06,22,0.0,1.0,495.0,0.002,False
2024,nba dpoy,Rudy Gobert,goberru01,31,72.0,433.0,495.0,0.875,True
2024,nba dpoy,Victor Wembanyama,wembavi01,20,19.0,245.0,495.0,0.495,False
2024,nba dpoy,Bam Adebayo,adebaba01,26,3.0,91.0,495.0,0.184,False
2024,nba dpoy,Anthony Davis,davisan02,30,4.0,83.0,495.0,0.168,False
2024,nba dpoy,Herbert Jones,joneshe01,25,0.0,14.0,495.0,0.028,False
2024,nba dpoy,Jrue Holiday,holidjr01,33,1.0,7.0,495.0,0.014,False
2024,nba dpoy,Shai Gilgeous-Alexander,gilgesh01,25,0.0,6.0,495.0,0.012,False
2024,nba dpoy,Derrick White,whitede01,29,0.0,5.0,495.0,0.01,False
2024,nba dpoy,Giannis Antetokounmpo,antetgi01,29,0.0,3.0,495.0,0.006,False
2024,nba dpoy,Jarrett Allen,allenja01,25,0.0,1.0,495.0,0.002,False
2024,nba dpoy,Alex Caruso,carusal01,29,0.0,1.0,495.0,0.002,False
2024,nba dpoy,Domantas Sabonis,sabondo01,27,0.0,1.0,495.0,0.002,False
2024,nba dpoy,Jalen Suggs,suggsja01,22,0.0,1.0,495.0,0.002,False
2024,nba mip,Tyrese Maxey,maxeyty01,23,51.0,319.0,495.0,0.644,True
