season,lg,player,player_id,age,team,pos,g,gs,mp,pg_percent,sg_percent,sf_percent,pf_percent,c_percent,on_court_plus_minus_per_100_poss,net_plus_minus_per_100_poss,bad_pass_turnover,lost_ball_turnover,shooting_foul_committed,offensive_foul_committed,shooting_foul_drawn,offensive_foul_drawn,points_generated_by_assists,and1,fga_blocked
2024,NBA,Precious Achiuwa,achiupr01,24,2TM,PF,74,18,1624,0.0,0.0,1.0,47.0,53.0,-0.7,-3.5,34,23,87,13,54,4.0,234,10,39
2024,NBA,Precious Achiuwa,achiupr01,24,TOR,C,25,0,437,0.0,0.0,0.0,3.0,97.0,-5.2,1.4,12,8,23,5,18,1.0,105,2,13
2024,NBA,Precious Achiuwa,achiupr01,24,NYK,PF,49,18,1187,0.0,0.0,1.0,63.0,36.0,1.0,-5.3,22,15,64,8,36,3.0,129,8,26
2024,NBA,Bam Adebayo,adebaba01,26,MIA,C,71,71,2416,0.0,0.0,0.0,0.0,100.0,0.8,-3.1,63,44,81,32,179,6.0,678,35,46
2024,NBA,Ochai Agbaji,agbajoc01,23,2TM,SG,78,28,1641,0.0,19.0,76.0,4.0,0.0,-6.8,-1.6,25,18,61,11,30,3.0,201,13,41
2024,NBA,Ochai Agbaji,agbajoc01,23,UTA,SG,51,10,1003,0.0,17.0,80.0,2.0,0.0,-5.3,-0.6,14,8,37,6,12,2.0,119,5,21
2024,NBA,Ochai Agbaji,agbajoc01,23,TOR,SG,27,18,638,1.0,22.0,69.0,8.0,0.0,-9.1,-3.2,11,10,24,5,18,1.0,82,8,20
2024,NBA,Santi Aldama,aldamsa01,23,MEM,PF,61,35,1618,0.0,0.0,5.0,82.0,14.0,-8.9,-2.7,35,18,52,5,41,3.0,342,16,26
2024,NBA,Nickeil Alexander-Walker,alexani01,25,MIN,SG,82,20,1921,43.0,48.0,9.0,0.0,0.0,8.7,4.3,51,16,80,4,24,29.0,496,4,29
2024,NBA,Grayson Allen,allengr01,28,PHO,SG,75,74,2513,26.0,72.0,2.0,0.0,0.0,4.8,4.3,56,16,75,8,63,19.0,546,15,26
2024,NBA,Jarrett Allen,allenja01,25,CLE,C,77,77,2442,0.0,0.0,0.0,1.0,100.0,5.0,6.1,67,28,87,21,142,15.0,499,31,75
2024,NBA,Timmy Allen,allenti01,24,MEM,SF,5,0,125,0.0,38.0,53.0,9.0,0.0,-24.0,-17.3,1,0,13,0,1,2.0,13,0,1
2024,NBA,Jose Alvarado,alvarjo01,25,NOP,PG,56,0,1028,100.0,0.0,0.0,0.0,0.0,12.3,10.4,25,10,27,1,19,12.0,275,1,22
2024,NBA,Kyle Anderson,anderky01,30,MIN,PF,79,10,1782,0.0,0.0,55.0,42.0,4.0,5.6,-1.7,57,20,57,6,65,7.0,781,11,20
2024,NBA,Giannis Antetokounmpo,antetgi01,29,MIL,PF,73,73,2567,0.0,0.0,0.0,59.0,41.0,6.2,10.0,75,72,83,45,377,7.0,1242,105,90
2024,NBA,Thanasis Antetokounmpo,antetth01,31,MIL,PF,34,0,155,0.0,0.0,9.0,34.0,58.0,-11.8,-15.1,4,5,11,1,1,1.0,44,0,3
2024,NBA,Cole Anthony,anthoco01,23,ORL,PG,81,0,1817,100.0,0.0,0.0,0.0,0.0,1.9,0.3,68,39,88,7,87,11.0,569,15,32
2024,NBA,OG Anunoby,anunoog01,26,2TM,SF,50,50,1702,0.0,1.0,64.0,34.0,1.0,11.6,16.2,33,19,58,15,47,4.0,252,15,41
2024,NBA,OG Anunoby,anunoog01,26,TOR,SF,27,27,900,0.0,2.0,80.0,16.0,2.0,2.0,10.9,17,11,26,10,24,4.0,169,9,20
2024,NBA,OG Anunoby,anunoog01,26,NYK,SF,23,23,802,0.0,0.0,45.0,55.0,0.0,22.4,22.1,16,8,32,5,23,0.0,83,6,21
2024,NBA,Ryan Arcidiacono,arcidry01,29,NYK,PG,20,0,45,0.0,65.0,36.0,0.0,0.0,7.6,2.9,2,0,3,0,0,2.0,11,0,0
2024,NBA,Deni Avdija,avdijde01,23,WAS,SF,75,75,2257,0.0,0.0,53.0,43.0,4.0,-6.3,6.9,87,45,93,18,144,12.0,672,45,76
2024,NBA,Deandre Ayton,aytonde01,25,POR,C,55,55,1784,0.0,0.0,0.0,0.0,100.0,-8.7,1.3,28,42,75,14,40,3.0,222,11,41
2024,NBA,Udoka Azubuike,azubuud01,24,PHO,C,16,0,113,0.0,0.0,0.0,0.0,100.0,-17.1,-21.0,0,2,12,2,6,1.0,6,1,3
2024,NBA,Ibou Badji,badjiib01,21,POR,C,22,1,226,0.0,0.0,0.0,0.0,100.0,-20.0,-11.3,2,7,30,4,5,1.0,28,0,3
2024,NBA,Marvin Bagley III,baglema01,24,2TM,C,50,25,1053,0.0,0.0,0.0,0.0,100.0,-6.7,2.8,19,13,43,18,64,10.0,128,15,38
2024,NBA,Marvin Bagley III,baglema01,24,DET,C,26,10,478,0.0,0.0,0.0,1.0,99.0,-7.9,1.1,10,5,22,10,30,6.0,65,6,14
2024,NBA,Marvin Bagley III,baglema01,24,WAS,C,24,15,575,0.0,0.0,0.0,0.0,100.0,-5.7,4.2,9,8,21,8,34,4.0,63,9,24
2024,NBA,Amari Bailey,baileam01,19,CHO,PG,10,0,65,73.0,27.0,0.0,0.0,0.0,5.6,16.5,3,1,1,0,3,0.0,18,1,0
2024,NBA,Patrick Baldwin Jr.,baldwpa01,21,WAS,SF,38,7,493,0.0,0.0,6.0,61.0,33.0,-2.9,7.2,6,7,37,4,15,2.0,74,8,4
2024,NBA,LaMelo Ball,ballla01,22,CHO,PG,22,22,711,69.0,29.0,1.0,0.0,0.0,-9.2,1.7,37,22,26,11,40,5.0,396,7,14
2024,NBA,Mo Bamba,bambamo01,25,PHI,C,57,17,740,0.0,0.0,0.0,0.0,100.0,-3.7,-8.2,12,5,55,19,25,2.0,102,5,12
2024,NBA,Paolo Banchero,banchpa01,21,ORL,PF,80,80,2799,0.0,0.0,0.0,93.0,7.0,-0.3,-7.3,114,91,92,21,269,0.0,1054,51,87
2024,NBA,Desmond Bane,banede01,25,MEM,SG,42,42,1443,13.0,50.0,34.0,3.0,0.0,-7.7,-0.7,47,31,57,18,61,10.0,568,13,61
2024,NBA,Dalano Banton,bantoda01,24,2TM,PG,54,9,1047,41.0,57.0,1.0,0.0,0.0,-11.2,-6.4,47,19,40,8,58,1.0,306,13,35
