season,lg,player,player_id,age,team,pos,experience
2022,NBA,Precious Achiuwa,achiupr01,22.0,TOR,C,2
2022,NBA,Steven Adams,adamsst01,28.0,MEM,C,9
2022,NBA,Bam Adebayo,adebaba01,24.0,MIA,C,5
2022,NBA,Santi Aldama,aldamsa01,21.0,MEM,PF,1
2022,NBA,LaMarcus Aldridge,aldrila01,36.0,BRK,C,16
2022,NBA,Nickeil Alexander-Walker,alexani01,23.0,2TM,SG,3
2022,NBA,Nickeil Alexander-Walker,alexani01,23.0,NOP,SG,3
2022,NBA,Nickeil Alexander-Walker,alexani01,23.0,UTA,SG,3
2022,NBA,Grayson Allen,allengr01,26.0,MIL,SG,4
2022,NBA,Jarrett Allen,allenja01,23.0,CLE,C,5
2022,NBA,Jose Alvarado,alvarjo01,23.0,NOP,PG,1
2022,NBA,Justin Anderson,anderju01,28.0,2TM,SF,6
2022,NBA,Justin Anderson,anderju01,28.0,CLE,SF,6
2022,NBA,Justin Anderson,anderju01,28.0,IND,SF,6
2022,NBA,Kyle Anderson,anderky01,28.0,MEM,PF,8
2022,NBA,Giannis Antetokounmpo,antetgi01,27.0,MIL,PF,9
2022,NBA,Thanasis Antetokounmpo,antetth01,29.0,MIL,SF,4
2022,NBA,Carmelo Anthony,anthoca01,37.0,LAL,PF,19
2022,NBA,Cole Anthony,anthoco01,21.0,ORL,PG,2
2022,NBA,OG Anunoby,anunoog01,24.0,TOR,SF,5
2022,NBA,Ryan Arcidiacono,arcidry01,27.0,NYK,PG,5
2022,NBA,Trevor Ariza,arizatr01,36.0,LAL,SF,18
2022,NBA,D.J. Augustin,augusdj01,34.0,2TM,PG,14
2022,NBA,D.J. Augustin,augusdj01,34.0,HOU,PG,14
2022,NBA,D.J. Augustin,augusdj01,34.0,LAL,PG,14
2022,NBA,Deni Avdija,avdijde01,21.0,WAS,SF,2
2022,NBA,Joel Ayayi,ayayijo01,21.0,WAS,SG,1
2022,NBA,Deandre Ayton,aytonde01,23.0,PHO,C,4
2022,NBA,Udoka Azubuike,azubuud01,22.0,UTA,C,2
2022,NBA,Marvin Bagley III,baglema01,22.0,2TM,PF,4
2022,NBA,Marvin Bagley III,baglema01,22.0,DET,PF,4
2022,NBA,Marvin Bagley III,baglema01,22.0,SAC,PF,4
