season,lg,player,player_id,age,team,pos,g,gs,mp,fg,fga,fg_percent,x3p,x3pa,x3p_percent,x2p,x2pa,x2p_percent,e_fg_percent,ft,fta,ft_percent,orb,drb,trb,ast,stl,blk,tov,pf,pts,trp_dbl
2024,NBA,Precious Achiuwa,achiupr01,24.0,2TM,PF,74,18.0,1624.0,235,469,0.501,26.0,97.0,0.268,209.0,372.0,0.562,0.529,69,112,0.616,191.0,296.0,487.0,97,46.0,68.0,83.0,143.0,565,0.0
2024,NBA,Precious Achiuwa,achiupr01,24.0,TOR,C,25,0.0,437.0,78,170,0.459,13.0,47.0,0.277,65.0,123.0,0.528,0.497,24,42,0.571,50.0,86.0,136.0,44,16.0,12.0,29.0,40.0,193,0.0
2024,NBA,Precious Achiuwa,achiupr01,24.0,NYK,PF,49,18.0,1187.0,157,299,0.525,13.0,50.0,0.26,144.0,249.0,0.578,0.547,45,70,0.643,141.0,210.0,351.0,53,30.0,56.0,54.0,103.0,372,0.0
2024,NBA,Bam Adebayo,adebaba01,26.0,MIA,C,71,71.0,2416.0,530,1017,0.521,15.0,42.0,0.357,515.0,975.0,0.528,0.529,292,387,0.755,159.0,578.0,737.0,278,81.0,66.0,162.0,159.0,1367,2.0
2024,NBA,Ochai Agbaji,agbajoc01,23.0,2TM,SG,78,28.0,1641.0,178,433,0.411,62.0,211.0,0.294,116.0,222.0,0.523,0.483,37,56,0.661,74.0,142.0,216.0,83,47.0,44.0,64.0,117.0,455,0.0
2024,NBA,Ochai Agbaji,agbajoc01,23.0,UTA,SG,51,10.0,1003.0,106,249,0.426,47.0,142.0,0.331,59.0,107.0,0.551,0.52,15,20,0.75,35.0,91.0,126.0,47,27.0,29.0,34.0,66.0,274,0.0
2024,NBA,Ochai Agbaji,agbajoc01,23.0,TOR,SG,27,18.0,638.0,72,184,0.391,15.0,69.0,0.217,57.0,115.0,0.496,0.432,22,36,0.611,39.0,51.0,90.0,36,20.0,15.0,30.0,51.0,181,0.0
2024,NBA,Santi Aldama,aldamsa01,23.0,MEM,PF,61,35.0,1618.0,247,568,0.435,106.0,304.0,0.349,141.0,264.0,0.534,0.528,54,87,0.621,72.0,280.0,352.0,138,43.0,54.0,69.0,89.0,654,0.0
2024,NBA,Nickeil Alexander-Walker,alexani01,25.0,MIN,SG,82,20.0,1921.0,236,538,0.439,131.0,335.0,0.391,105.0,203.0,0.517,0.56,52,65,0.8,35.0,132.0,167.0,204,64.0,42.0,76.0,143.0,655,0.0
2024,NBA,Grayson Allen,allengr01,28.0,PHO,SG,75,74.0,2513.0,340,682,0.499,205.0,445.0,0.461,135.0,237.0,0.57,0.649,129,147,0.878,48.0,247.0,295.0,227,69.0,45.0,95.0,157.0,1014,0.0
2024,NBA,Jarrett Allen,allenja01,25.0,CLE,C,77,77.0,2442.0,519,819,0.634,0.0,6.0,0.0,519.0,813.0,0.638,0.634,233,314,0.742,243.0,568.0,811.0,210,53.0,81.0,121.0,147.0,1271,0.0
2024,NBA,Timmy Allen,allenti01,24.0,MEM,SF,5,0.0,125.0,6,23,0.261,0.0,7.0,0.0,6.0,16.0,0.375,0.261,1,2,0.5,4.0,13.0,17.0,5,4.0,0.0,2.0,18.0,13,0.0
