season,lg,team,abbreviation,playoffs,g,mp,fg,fga,fg_percent,x3p,x3pa,x3p_percent,x2p,x2pa,x2p_percent,ft,fta,ft_percent,orb,drb,trb,ast,stl,blk,tov,pf,pts
2024,NBA,Atlanta Hawks,ATL,False,82.0,19855.0,3529.0,7584.0,0.465,1125.0,3092.0,0.364,2404.0,4492.0,0.535,1520.0,1906.0,0.797,1024.0,2639.0,3663.0,2180.0,615.0,369.0,1110.0,1522.0,9703.0
2024,NBA,Boston Celtics,BOS,True,82.0,19830.0,3601.0,7396.0,0.487,1351.0,3482.0,0.388,2250.0,3914.0,0.575,1334.0,1654.0,0.807,876.0,2923.0,3799.0,2207.0,557.0,538.0,979.0,1326.0,9887.0
2024,NBA,Brooklyn Nets,BRK,False,82.0,19805.0,3334.0,7307.0,0.456,1089.0,3010.0,0.362,2245.0,4297.0,0.522,1293.0,1711.0,0.756,938.0,2675.0,3613.0,2102.0,556.0,424.0,1076.0,1516.0,9050.0
2024,NBA,Chicago Bulls,CHI,False,82.0,19980.0,3448.0,7339.0,0.47,941.0,2630.0,0.358,2507.0,4709.0,0.532,1369.0,1731.0,0.791,916.0,2677.0,3593.0,2048.0,638.0,394.0,1004.0,1541.0,9206.0
2024,NBA,Charlotte Hornets,CHO,False,82.0,19730.0,3281.0,7133.0,0.46,989.0,2788.0,0.355,2292.0,4345.0,0.528,1189.0,1512.0,0.786,765.0,2538.0,3303.0,2033.0,562.0,371.0,1129.0,1472.0,8740.0
2024,NBA,Cleveland Cavaliers,CLE,True,82.0,19805.0,3425.0,7148.0,0.479,1108.0,3016.0,0.367,2317.0,4132.0,0.561,1278.0,1671.0,0.765,807.0,2742.0,3549.0,2299.0,605.0,380.0,1112.0,1436.0,9236.0
2024,NBA,Dallas Mavericks,DAL,True,82.0,19705.0,3535.0,7352.0,0.481,1197.0,3242.0,0.369,2338.0,4110.0,0.569,1397.0,1842.0,0.758,797.0,2724.0,3521.0,2106.0,563.0,406.0,1027.0,1500.0,9664.0
2024,NBA,Denver Nuggets,DEN,True,82.0,19705.0,3610.0,7279.0,0.496,958.0,2560.0,0.374,2652.0,4719.0,0.562,1240.0,1628.0,0.762,881.0,2763.0,3644.0,2415.0,585.0,457.0,1036.0,1489.0,9418.0
2024,NBA,Detroit Pistons,DET,False,82.0,19755.0,3353.0,7236.0,0.463,906.0,2602.0,0.348,2447.0,4634.0,0.528,1398.0,1780.0,0.785,861.0,2692.0,3553.0,2088.0,531.0,384.0,1248.0,1688.0,9010.0
2024,NBA,Golden State Warriors,GSW,False,82.0,19830.0,3582.0,7515.0,0.477,1211.0,3191.0,0.38,2371.0,4324.0,0.548,1282.0,1644.0,0.78,996.0,2834.0,3830.0,2402.0,572.0,377.0,1174.0,1598.0,9657.0
